first_event_date,SOURCEURL,title,description,content,avg_goldstein_score,min_goldstein_score,max_goldstein_score,goldstein_score_std,event_count,actor1_names,actor2_names,actor1_countries,actor2_countries,event_locations,last_event_date,event_descriptions,date_span_days,keywords,author,site_name,image,favicon,canonical_url,language,content_type,status_code,error,llm_result
2025-11-07,http://www.kenyastar.com/news/278680213/russia-and-african-nation-set-new-tone-in-music-ties,Russia and African nation set new tone in music ties,Russia is deepening educational and cultural partnerships with Mali through joint conservatory programs Read Full Article at RT.com,Russia and African nation set new tone in music ties Russia is deepening educational and cultural partnerships with Mali through joint conservatory programs Read Full Article at RT.com,1.392307692,0.0,2.8,1.046789965,13,BAMAKO | MALI | ST PETERSBURG | RUSSIAN,ST PETERSBURG | RUSSIAN | BAMAKO | MALI,MLI | RUS,RUS | MLI,ML | UV,2025-11-07,"['Consult, not specified below', 'Engage in symbolic act', 'Host a visit', 'Make a visit']",0,"the concert, telegram, and one, bamako, bamako hosted, students, state, diplomatic, humanitarian",,Kenya Star,https://image.chitra.live/api/v1/wps/2b21d58/ca597ae1-0278-4003-8fa6-de2fcbf9b12a/0/ZDc3NWZlNzktYWM-600x315.jpg,https://assets.kreatio.net/web/premier/favicons/favicon.ico,https://www.kenyastar.com/news/278680213/russia-and-african-nation-set-new-tone-in-music-ties,en,text/html; charset=utf-8,200.0,,DIP
2025-11-07,https://www.graphic.com.gh/news/general-news/ghana-news-russia-committed-to-cultural-exchange-with-ghana.html,Russia committed to cultural exchange with Ghana - Graphic Online,"The Consular of the Embassy of the Russian Federation in Ghana, Natalia Muzhennikova, has indicated that the Russian Embassy is committed to promoting cultural exchange and educational cooperation between Russia and Ghana","Russia committed to cultural exchange with Ghana - Graphic Online The Consular of the Embassy of the Russian Federation in Ghana, Natalia Muzhennikova, has indicated that the Russian Embassy is committed to promoting cultural exchange and educational cooperation between Russia and Ghana",6.0,6.0,6.0,0.0,5,GHANA | RUSSIA,RUSSIA | GHANA,GHA | RUS,RUS | GHA,GH,2025-11-07,"['Grant diplomatic recognition', 'Engage in material cooperation, not specified below']",0,,,Graphic Online,https://graphiconline.com/images/2025/nov/07/Alexander.jpg,https://www.graphic.com.gh/images/assets/favicon-16x16.png,https://www.graphic.com.gh/news/general-news/ghana-news-russia-committed-to-cultural-exchange-with-ghana.html,en-gb,text/html; charset=utf-8,200.0,,DIP
2025-11-07,https://www.nysun.com/article/in-asia-africa-and-the-americas-russia-retreats,"In Asia, Africa, and the Americas, Russia Retreats | The New York Sun","With a bipolar world emerging between America and Communist China, Russia could be marginalized.","In Asia, Africa, and the Americas, Russia Retreats | The New York Sun With a bipolar world emerging between America and Communist China, Russia could be marginalized.",4.5,1.0,8.3,3.37934905,5,AFRICA | RUSSIA | UNITED STATES,RUSSIA | AFRICA | MALIAN | MALI,AFR | RUS | USA,RUS | AFR | MLI,SF | ML | NI,2025-11-07,"['Consult, not specified below', 'Express intent to provide military aid', 'Provide military aid', 'Provide aid, not specified below']",0,,,The New York Sun,https://wp.nysun.com/wp-content/uploads/2025/11/trump-dinner-scaled.jpg?w=1200&h=630&fit=fill&fm=jpg&fl=progressive,https://www.nysun.com/assets/favicon-32x32.png,https://www.nysun.com/article/in-asia-africa-and-the-americas-russia-retreats,en,text/html; charset=utf-8,200.0,,DIP
2025-11-07,https://dailypost.ng/2025/11/07/russia-monitoring-potential-us-military-action-in-nigeria/,Russia monitoring potential US military action in Nigeria - Daily Post Nigeria,"The Russian government on Friday confirmed it is monitoring the events in Nigeria, following President Donald Trump's recent statements regarding a","Russia monitoring potential US military action in Nigeria - Daily Post Nigeria The Russian government on Friday confirmed it is monitoring the events in Nigeria, following President Donald Trump's recent statements regarding a",-2.0,-2.0,-2.0,0.0,4,RUSSIA | RUSSIAN,MILITARY | NIGERIA,RUS,NGA,NI,2025-11-07,"['Investigate, not specified below']",0,,Wale Odunsi,Daily Post Nigeria,https://dailypost.ng/wp-content/uploads/2021/01/World_Russia_Flag_of_the_Russian_Federation_035272_-scaled.jpg,https://dailypost.ng/wp-content/uploads/2020/10/cropped-Daily-Post-Icon-512x512px-Customsize3-32x32.jpg,https://dailypost.ng/2025/11/07/russia-monitoring-potential-us-military-action-in-nigeria/,en-US,text/html; charset=UTF-8,200.0,,SEC
2025-11-07,https://www.citizen.co.za/news/morning-fix-ramaphosa-is-not-going-anywhere-envoy-dismisses-irresponsible-rumours-embassy-denies-17-trapped-sa-men-were-fighting-for-ukraine/,Morning Fix: Updates on South African Affairs | The Citizen,This morning fix covers President Ramaphosa's statements post-G20 and urgent updates on South African mercenaries in Ukraine.,Morning Fix: Updates on South African Affairs | The Citizen This morning fix covers President Ramaphosa's statements post-G20 and urgent updates on South African mercenaries in Ukraine.,2.35,1.9,2.8,0.5196152423,4,AFRICA | RUSSIA | SOUTH AFRICAN,RUSSIA | AFRICA | SOUTH AFRICAN,AFR | RUS | ZAF,RUS | AFR | ZAF,SF,2025-11-07,"['Make a visit', 'Host a visit']",0,,Molemo Tladi,The Citizen,https://media.citizen.co.za/wp-content/uploads/2025/11/Ramaphosa-2-scaled-1.jpg,https://media.citizen.co.za/assets/img/citizen-icon.png,https://www.citizen.co.za/news/morning-fix-ramaphosa-is-not-going-anywhere-envoy-dismisses-irresponsible-rumours-embassy-denies-17-trapped-sa-men-were-fighting-for-ukraine/,en,text/html; charset=UTF-8,200.0,,IRRELEVANT
2025-11-07,https://indianexpress.com/article/explained/explained-global/expert-explains-l-global-crisis-in-sudan-current-trigger-old-faultlines-and-the-human-cost-10350457/,,,,-2.0,-2.0,-2.0,0.0,4,UNITED ARAB EMIRATES | EGYPT | RUSSIA,RUSSIA | UNITED ARAB EMIRATES | EGYPT,ARE | EGY | RUS,RUS | ARE | EGY,EG,2025-11-07,"['Accuse, not specified below']",0,,,,,,,,text/html,403.0,Request error: 403 Client Error: Forbidden for url: https://indianexpress.com/article/explained/explained-global/expert-explains-l-global-crisis-in-sudan-current-trigger-old-faultlines-and-the-human-cost-10350457/,IRRELEVANT
2025-11-07,https://www.firstpost.com/world/south-africa-probes-recruitment-of-men-as-mercenaries-in-russia-ukraine-war-13948573.html,South Africa probes recruitment of men as mercenaries in Russia-Ukraine war – Firstpost,"The South African government said in a statement that as many as 17 men were lured into fighting in the war on the pretext of lucrative jobs. This phenomenon is not new to India, as several men continue to remain trapped in Ukraine as a result of being duped by Russian agents","South Africa probes recruitment of men as mercenaries in Russia-Ukraine war – Firstpost The South African government said in a statement that as many as 17 men were lured into fighting in the war on the pretext of lucrative jobs. This phenomenon is not new to India, as several men continue to remain trapped in Ukraine as a result of being duped by Russian agents",-2.05,-4.0,-0.1,2.25166605,4,RUSSIA,AFRICA,RUS,AFR,SF,2025-11-07,"['Decline comment', 'Reject, not specified below']",0,"russia ukraine war,south africa,south africans in russia ukraine war,south africans recruited as mercenaries",,Firstpost,"https://images.firstpost.com/uploads/2025/08/donbas1-2025-08-745fdec4486544d730138a7ecc7c178e.jpg?im=FitAndFill=(1200,675)",https://www.firstpost.com/dlxczavtqcctuei/news18/static/images/fp/favicon.ico,https://www.firstpost.com/world/south-africa-probes-recruitment-of-men-as-mercenaries-in-russia-ukraine-war-13948573.html,en-us,text/html,200.0,,SEC
2025-11-07,https://sofrep.com/news/sofrep-daily-2025-nov-7-am/,"Morning Brief: US 17th Deadly Strike on Alleged Drug Boat in Caribbean, China Commissions Fujian Aircraft Carrier | SOFREP","US expands strikes, Senate blocks limits, China launches new carrier. Here’s your Friday Morning Brief rundown, November 7, 2025.","Morning Brief: US 17th Deadly Strike on Alleged Drug Boat in Caribbean, China Commissions Fujian Aircraft Carrier | SOFREP US expands strikes, Senate blocks limits, China launches new carrier. Here’s your Friday Morning Brief rundown, November 7, 2025.",3.5,3.5,3.5,0.0,3,NORTH KOREAN | RUSSIAN,RUSSIAN | NORTH KOREAN | NORTH KOREA,PRK | RUS,RUS | PRK,DJ,2025-11-07,"['Engage in diplomatic cooperation, not specified below']",0,,Guy D. McCardle,SOFREP,https://cms.sofrep.com/wp-content/uploads/2025/11/Chinas-Fujian-aircraft-carrier.jpg,https://sofrep.com/wp-content/uploads/2025/08/favicon-32x32-1.webp,https://sofrep.com/news/sofrep-daily-2025-nov-7-am/,en-US,text/html; charset=UTF-8,200.0,,IRRELEVANT
2025-11-07,https://www.cnn.com/2025/11/07/africa/sudan-conflict-foreign-influence-intl-cmd,Sudan’s bloody conflict is plagued by foreign influence – here is what we know | CNN,"While the war in Sudan has most often been portrayed as an internal conflict between two warring generals, the murky involvement of several foreign powers makes the conflict far more complex – and deadly.","Sudan’s bloody conflict is plagued by foreign influence – here is what we know | CNN While the war in Sudan has most often been portrayed as an internal conflict between two warring generals, the murky involvement of several foreign powers makes the conflict far more complex – and deadly.",-6.0,-10.0,-2.0,5.656854249,2,UKRAINE | THE US,RUSSIA,UKR | USA,RUS,ZI | SU,2025-11-07,"['Use conventional military force, not specified below', 'Accuse, not specified below']",0,,Ivana Kottasová,CNN,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2225250521.jpg?c=16x9&q=w_800,c_fill",https://www.cnn.com/media/sites/cnn/favicon.ico,https://www.cnn.com/2025/11/07/africa/sudan-conflict-foreign-influence-intl-cmd,en,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://www.citizen.co.za/news/embassy-denies-17-trapped-sa-men-fighting-for-ukraine/,Embassy denies 17 trapped SA men were fighting for Ukraine | The Citizen,The group is reportedly trapped in the Donbas region of Ukraine and has made distress calls to the South African government for help.,Embassy denies 17 trapped SA men were fighting for Ukraine | The Citizen The group is reportedly trapped in the Donbas region of Ukraine and has made distress calls to the South African government for help.,2.35,1.9,2.8,0.6363961031,2,AFRICA | RUSSIA,RUSSIA | AFRICA,AFR | RUS,RUS | AFR,SF,2025-11-07,"['Make a visit', 'Host a visit']",0,,Eric Mthobeli Naki,The Citizen,https://media.citizen.co.za/wp-content/uploads/2025/11/AFP__20251031__barbeira-notitle251031_npBmt__v1__HighRes__RussianDroneAttackOnSumyTr-scaled.jpg,https://media.citizen.co.za/assets/img/citizen-icon.png,https://www.citizen.co.za/news/embassy-denies-17-trapped-sa-men-fighting-for-ukraine/,en,text/html; charset=UTF-8,200.0,,IRRELEVANT
