SOURCEURL,Date,Event name,Type,cluster,actor1_countries,actor2_countries,event_locations,combined_text_entities,combined_text_entity_types,keywords,first_event_date,title,description,event_count,avg_goldstein_score,site_name,language,actor1_names,actor2_names,event_descriptions,author
http://www.kenyastar.com/news/278680213/russia-and-african-nation-set-new-tone-in-music-ties,2025-11-07,Russia and African nation set new tone in music ties,DIP,,MLI | RUS,RUS | MLI,ML | UV,,,"the concert, telegram, and one, bamako, bamako hosted, students, state, diplomatic, humanitarian",2025-11-07,Russia and African nation set new tone in music ties,Russia is deepening educational and cultural partnerships with Mali through joint conservatory programs Read Full Article at RT.com,13,1.392307692,Kenya Star,en,BAMAKO | MALI | ST PETERSBURG | RUSSIAN,ST PETERSBURG | RUSSIAN | BAMAKO | MALI,"['Consult, not specified below', 'Engage in symbolic act', 'Host a visit', 'Make a visit']",
https://www.graphic.com.gh/news/general-news/ghana-news-russia-committed-to-cultural-exchange-with-ghana.html,2025-11-07,Russia committed to cultural exchange with Ghana - Graphic Online,DIP,,GHA | RUS,RUS | GHA,GH,,,,2025-11-07,Russia committed to cultural exchange with Ghana - Graphic Online,"The Consular of the Embassy of the Russian Federation in Ghana, Natalia Muzhennikova, has indicated that the Russian Embassy is committed to promoting cultural exchange and educational cooperation between Russia and Ghana",5,6.0,Graphic Online,en-gb,GHANA | RUSSIA,RUSSIA | GHANA,"['Grant diplomatic recognition', 'Engage in material cooperation, not specified below']",
https://www.nysun.com/article/in-asia-africa-and-the-americas-russia-retreats,2025-11-07,"In Asia, Africa, and the Americas, Russia Retreats | The New York Sun",DIP,,AFR | RUS | USA,RUS | AFR | MLI,SF | ML | NI,,,,2025-11-07,"In Asia, Africa, and the Americas, Russia Retreats | The New York Sun","With a bipolar world emerging between America and Communist China, Russia could be marginalized.",5,4.5,The New York Sun,en,AFRICA | RUSSIA | UNITED STATES,RUSSIA | AFRICA | MALIAN | MALI,"['Consult, not specified below', 'Express intent to provide military aid', 'Provide military aid', 'Provide aid, not specified below']",
https://dailypost.ng/2025/11/07/russia-monitoring-potential-us-military-action-in-nigeria/,2025-11-07,Russia monitoring potential US military action in Nigeria - Daily Post Nigeria,SEC,,RUS,NGA,NI,,,,2025-11-07,Russia monitoring potential US military action in Nigeria - Daily Post Nigeria,"The Russian government on Friday confirmed it is monitoring the events in Nigeria, following President Donald Trump's recent statements regarding a",4,-2.0,Daily Post Nigeria,en-US,RUSSIA | RUSSIAN,MILITARY | NIGERIA,"['Investigate, not specified below']",Wale Odunsi
https://www.firstpost.com/world/south-africa-probes-recruitment-of-men-as-mercenaries-in-russia-ukraine-war-13948573.html,2025-11-07,South Africa probes recruitment of men as mercenaries in Russia-Ukraine war – Firstpost,SEC,,RUS,AFR,SF,,,"russia ukraine war,south africa,south africans in russia ukraine war,south africans recruited as mercenaries",2025-11-07,South Africa probes recruitment of men as mercenaries in Russia-Ukraine war – Firstpost,"The South African government said in a statement that as many as 17 men were lured into fighting in the war on the pretext of lucrative jobs. This phenomenon is not new to India, as several men continue to remain trapped in Ukraine as a result of being duped by Russian agents",4,-2.05,Firstpost,en-us,RUSSIA,AFRICA,"['Decline comment', 'Reject, not specified below']",
https://www.yahoo.com/news/articles/germanys-afd-reject-treason-allegation-200448091.html,2025-11-07,Germany's AfD reject 'treason' allegation over lawmakers' Russia trip,DIP,,DEU,RUS,SF,,,"Russia, Germany, conservative politicians",2025-11-07,Germany's AfD reject 'treason' allegation over lawmakers' Russia trip,"The Alternative for Germany (AfD) on Friday rejected allegations of ""treason"" over plans for several of the far-right party's lawmakers to visit Russia next week. The trip has attracted severe criticism from conservative German politicians due to Russia's war with Ukraine.",2,-2.0,Yahoo News,en-US,GERMANY,RUSSIA,['Deny responsibility'],
https://www.moroccoworldnews.com/2025/11/266943/russia-reiterates-support-for-un-led-process-in-western-sahara/,2025-11-07,Russia Reiterates Support for UN-Led Process in Western Sahara,DIP,,RUS,RUS,AG,,,,2025-11-07,Russia Reiterates Support for UN-Led Process in Western Sahara,Russian Deputy Foreign Minister Sergey Vershinin reconfirmed Russia’s visibly evolving position on the Western Sahara dispute,2,3.4,Morocco World News,en-US,THE UN | RUSSIA,RUSSIAN,['Praise or endorse'],Safaa Kasraoui
https://www.kyivpost.com/post/63861,2025-11-07,"Kyiv Says Over 1,400 Africans Fighting for Russia in Ukraine",SEC,,KEN,RUS,KE,,,,2025-11-07,"Kyiv Says Over 1,400 Africans Fighting for Russia in Ukraine","According to Ukraine’s foreign minister, Russia is using a variety of recruitment tactics to attract foreign fighters – offering financial incentives, misleading contracts, or using coercion.",2,8.3,Kyiv Post,,KENYAN,RUSSIAN,['Provide military aid'],Alisa Orlova
https://www.politico.eu/article/kremlin-denies-rumors-sergey-lavrovs-ousted/,2025-11-07,Kremlin denies growing rumors of Sergey Lavrov’s ouster – POLITICO,DIP,,RUS,RUS,SF,,,"Kremlin,Russia,Russian politics,Sergey Lavrov",2025-11-07,Kremlin denies growing rumors of Sergey Lavrov’s ouster – POLITICO,"“Completely untrue,” insists Vladimir Putin’s spokesperson, as chatter builds about the veteran foreign minister.",2,-4.0,POLITICO,en-GB,RUSSIA,SERGEY LAVROV,"['Reject, not specified below']",
https://cyprus-mail.com/2025/11/07/kremlin-dismisses-speculation-that-lavrov-has-fallen-out-of-favour-with-putin,2025-11-07,Kremlin dismisses speculation that Lavrov has fallen out of favour with Putin |  Cyprus Mail,DIP,,AFR,RUS,SF,,,,2025-11-07,Kremlin dismisses speculation that Lavrov has fallen out of favour with Putin |  Cyprus Mail,"The Kremlin on Friday dismissed speculation that Russian Foreign Minister Sergei Lavrov had fallen out of favour with Vladimir Putin after efforts to organise a summit between the Russian president and Donald Trump were put on ice last month. Lavrov, 75, a veteran Soviet-era diplomat known for his robust negotiating&hellip;",1,4.0,,en,AFRICA,RUSSIA,['Express intent to meet or negotiate'],
